gene_symbol,sex,nAcc_Female_directions,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GPATCH2L,female,+,0.6545142119072751,0.32725710595363755,0.6727428940463624,1,0.6545142119072751
GPATCH3,female,+,0.87427036262154,0.43713518131077,0.56286481868923,1,0.87427036262154
GPATCH4,female,+,0.24918944336027316,0.12459472168013658,0.8754052783198634,1,0.24918944336027316
GPATCH8,female,-,0.7164192609391689,0.6417903695304156,0.35820963046958443,-1,0.7164192609391689
GPBAR1,female,-,0.04637097177926569,0.9768145141103671,0.023185485889632845,-1,0.04637097177926569
GPBP1,female,+,0.8947683806396401,0.4473841903198201,0.5526158096801799,1,0.8947683806396401
GPBP1L1,female,+,0.8783277960074367,0.43916389800371836,0.5608361019962816,1,0.8783277960074367
GPC1,female,-,0.8099530720412998,0.5950234639793501,0.4049765360206499,-1,0.8099530720412998
GPC2,female,+,0.42114631979629275,0.21057315989814637,0.7894268401018536,1,0.42114631979629275
GPC3,female,-,0.13246988150768238,0.9337650592461588,0.06623494075384119,-1,0.13246988150768238
GPC4,female,+,0.4255307933605845,0.21276539668029226,0.7872346033197077,1,0.4255307933605845
GPC5,female,+,0.8616232204121287,0.43081161020606434,0.5691883897939356,1,0.8616232204121287
GPC6,female,-,0.47392019827038645,0.7630399008648068,0.23696009913519323,-1,0.47392019827038645
