gene_symbol,nAcc.F_nAcc.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
AAMDC,-+,0.05496477815190643,0.10228108326786166,0.5650601289638185,1,0.20456216653572332
AAMP,++,0.6835405300066466,0.4157312021127293,0.7554638778942617,1,0.8314624042254586
AANAT,-+,0.03308854863736313,0.05566269673091812,0.7610047104019968,1,0.11132539346183624
AAR2,+-,0.7091154288553696,0.6501858246288622,0.5133180605187632,-1,1.0266361210375263
AARD,-+,0.1311215150054933,0.19090849604389853,0.6150772760470604,1,0.38181699208779707
AARS,+-,0.14066966518478174,0.713525789408874,0.18186054089809958,-1,0.36372108179619916
AARS2,--,0.7229346546946117,0.7138700691640981,0.46274989479545015,-1,0.9254997895909003
AARSD1,++,0.23686530534651143,0.17204003959925523,0.893857128939291,1,0.34408007919851047
AARSP1,++,0.82134870380883,0.5133810565408221,0.672884715045698,1,1.0267621130816442
AASDH,-+,0.49743125833827295,0.41411996404754453,0.6960091341875426,1,0.8282399280950891
AASDHPPT,+-,0.1537191427328842,0.5328640691947751,0.2277735426394932,-1,0.4555470852789864
AASS,--,0.2860150886205368,0.8488250453371389,0.2260599763115434,-1,0.4521199526230868
AATF,++,0.6069832722324706,0.3646734046951612,0.7942357139691758,1,0.7293468093903224
AATK,-+,0.31878284264883405,0.6069752455669585,0.35401186327407685,-1,0.7080237265481537
AATK-AS1,+-,0.11408769704049455,0.7267999061680344,0.15342083856582855,-1,0.3068416771316571
AB019438.66,++,0.82134870380883,0.5133810565408221,0.672884715045698,1,1.0267621130816442
