gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
SOWAHB,+++-,0.43889395184245483,0.7288740279599016,0.37004183195517243,-1,0.7400836639103449,0.32339017852050417,0.3278576317590691,0.6467803570410083
SOWAHC,-+--,0.3981314872338477,0.847515216024656,0.26786019435198327,-1,0.5357203887039665,0.22295100667313067,0.23459958932238192,0.44590201334626134
SOX1,----,0.33740428985291193,0.9083914225013877,0.18819720346392632,-1,0.37639440692785264,0.14595334512062966,0.16467031713438285,0.2919066902412593
SOX10,----,0.20855794090796606,0.9735373032655019,0.0720262577356171,-1,0.1440525154712342,0.04796669138196544,0.06616472735569245,0.09593338276393087
SOX11,---+,0.28009732439406987,0.5714616307955461,0.33532202610045,-1,0.6706440522009,0.2899674898762334,0.29637234770704995,0.5799349797524668
SOX12,--+-,0.6394015834824325,0.7688231348976544,0.3963232248075736,-1,0.7926464496151472,0.350824160155136,0.35261236595938855,0.701648320310272
SOX13,+--+,0.5499140102573892,0.8494002189631693,0.29153514127634245,-1,0.5830702825526849,0.24707694062624766,0.2560460871549167,0.4941538812524953
SOX14,-++-,0.21797091300691415,0.3041555025673474,0.4602866192230391,1,0.6083110051346948,0.25924024640657084,0.26892146238521647,0.5184804928131417
SOX15,+-+-,0.13870482007468074,0.12782925896316838,0.882356584187455,1,0.25565851792633676,0.09342915811088295,0.11173216220840701,0.1868583162217659
SOX17,--++,0.6947973266426535,0.7001282684206851,0.470646071557889,-1,0.941292143115778,0.4200079849426795,0.4208875199634953,0.840015969885359
SOX18,+-++,0.49267386995646056,0.3079808723249119,0.8298714451166187,1,0.6159617446498238,0.263118868355008,0.27291393372497574,0.526237736710016
SOX2,+--+,0.38680063193553726,0.4497937536656614,0.44487031985634196,-1,0.8897406397126839,0.39599612159926995,0.39750171115674193,0.7919922431985399
SOX21,++-+,0.5702129162866582,0.5209401769526861,0.5452893765246762,1,1.0418803539053723,0.46206935888660733,0.45805053328010037,0.9161010665602007
SOX30,+++-,0.771370338921666,0.6023876904537435,0.5622286172316425,-1,1.124457234463285,0.4887925625962471,0.4858544375998175,0.971708875199635
