gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ART4,---+,0.11984988923745617,0.4938503418708045,0.24142182889048647,-1,0.48284365778097293,0.24336964581075685,0.2388204426192106,0.4776408852384212
ART5,+-++,0.13129832424743215,0.9419600249127801,0.04832301549830963,-1,0.09664603099661925,0.04522899674898762,0.05258955053616245,0.09045799349797524
ARTN,++--,0.09997998989480421,0.06286764420772285,0.9780228552042675,1,0.1257352884154457,0.057494866529774126,0.06690241259339531,0.11498973305954825
ARV1,+++-,0.30320491619527234,0.40920082417426834,0.7577143776867853,1,0.8184016483485367,0.3943075519050878,0.3847601665430902,0.7695203330861804
ARVCF,+---,0.06362244746386972,0.5547747628976086,0.3049320218354403,-1,0.6098640436708807,0.3065077282838077,0.2965434633812457,0.5930869267624914
AS3MT,+---,0.17117810541097384,0.11032720108758606,0.9416551918472476,1,0.22065440217517213,0.10763175906913074,0.11435578623167741,0.21526351813826147
ASAH1,+++-,0.2178094612791015,0.29681880831589036,0.8741952058129472,1,0.5936376166317807,0.29876796714579057,0.2887697484743056,0.5775394969486112
ASAH2,++++,0.1417951546788453,0.41976913829405543,0.4535707068806931,1,0.8395382765881109,0.4016084873374401,0.3914332972109736,0.7828665944219472
ASAH2B,++++,0.020938074965111186,0.27962151395908685,0.11813478833253517,-1,0.23626957666507034,0.11600981007243484,0.121720282911248,0.23201962014486968
ASAP1,++++,0.2794315353377404,0.5045118082507434,0.6169892035398581,1,1.0090236165014868,0.45796258270590917,0.444419095420065,0.88883819084013
ASAP2,-+--,0.41634192876118276,0.5481205627147435,0.7179813501066061,1,1.096241125429487,0.4772986538900297,0.464495522728569,0.928991045457138
ASAP3,+++-,0.025197793420173652,0.009877237693447076,0.9321519218900205,1,0.019754475386894153,0.009354323522701347,0.01231962584840016,0.018708647045402694
