gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
GALNT12,+-+-,0.091521896,0.24075817222148171,0.6933952455772432,1,0.48151634444296343,0.23494369778423538,0.2514165334883045,0.46988739556847076
COL15A1,---+,0.38877294,0.8899600891166464,0.33599684024601784,-1,0.6719936804920357,0.31926485544094146,0.34071921540138034,0.6385297108818829
TGFBR1,++--,0.061591115,0.09589716389353234,0.9517991325893052,1,0.19179432778706468,0.09022884126407556,0.0967601336626471,0.18045768252815111
ALG2,-++-,0.114548828,0.34431129374810954,0.5338636946619618,1,0.6886225874962191,0.3263349073737741,0.34897573732384135,0.6526698147475481
SEC61B,-++-,0.081588879,0.11022080700829018,0.47054999346091214,1,0.22044161401658036,0.10519433345441337,0.11346796455034142,0.21038866690882674
NR4A3,----,0.108969707,0.15785119555700464,0.25272342548410015,1,0.3157023911140093,0.15655648383581547,0.16569809676013367,0.31311296767163094
STX17,++++,0.233452557,0.44382648971705024,0.37147985660746097,-1,0.7429597132149219,0.349847450239721,0.3743552488194697,0.699694900479442
ERP44,+---,0.38022938,0.45151432821820275,0.7993108966252059,1,0.9030286564364055,0.40559389756629133,0.4320790353043731,0.8111877951325827
INVS,++++,0.062205235,0.31695352069734817,0.20791475069456267,-1,0.41582950138912533,0.20550631991864013,0.22048674173628768,0.41101263983728026
TEX10,-+--,0.06528772,0.1819461625842294,0.42502327165807896,1,0.3638923251684588,0.18132945877224846,0.19250326892343456,0.3626589175444969
MSANTD3,---+,0.123677168,0.9185321023619808,0.09410497544236393,-1,0.18820995088472786,0.08818828998983001,0.0952415546676353,0.17637657997966003
CAVIN4,++++,0.04576064,0.23744284453150274,0.19718258009976677,-1,0.39436516019953355,0.19591747784396338,0.20973483472575372,0.39183495568792676
BAAT,+++-,0.074706762,0.024024958949007427,0.9375820359153282,1,0.048049917898014854,0.01874318924809299,0.02237396484091239,0.03748637849618598
MRPL50,-+--,0.289649371,0.1832926080842984,0.8970673793586051,1,0.3665852161685968,0.18292771521976026,0.19366555281127415,0.3658554304395205
ZNF189,+++-,0.011408371,0.01037988180364595,0.9596374499759789,1,0.0207597636072919,0.007628042135851798,0.00835391544384716,0.015256084271703597
TMEM246,-+--,0.186950208,0.15388731794666216,0.8971494947655914,1,0.3077746358933243,0.15219760261532872,0.16155746040970506,0.30439520523065744
RNF20,+++-,0.650928189,0.5549226275029289,0.79727922937751,1,1.1098452550058577,0.4569560479476934,0.49070172889728314,0.9139120958953868
GRIN3A,---+,0.166596353,0.80476339009747,0.24148839148583923,-1,0.48297678297167845,0.23579834374545983,0.25237922266618235,0.47159668749091965
SMC2,++++,0.502643948,0.5380831595443151,0.6997060011876601,1,1.0761663190886301,0.44903741373047584,0.482420456196426,0.8980748274609517
