gene_symbol,female_Anterior_Insula_female_BA11_female_BA25_female_BA8/9_female_Nac_female_Subic_male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
RP11-152N13.16,--+-++----+-,0.004615655,0.6826803201821363,0.02382249010099439,-1,0.04764498020198878
RNU2-59P,+-+-+++++-+-,0.003040122,0.02382833842746794,0.8911759534626158,1,0.04765667685493588
XPC,+++++++--+++,0.082172007,0.023832185760020556,0.9989808822854896,1,0.04766437152004111
SIX4,+++++-------,0.001364429,0.023839358839364656,0.09884716190223278,1,0.04767871767872931
PRKCSH,+-+---++++++,0.006914303,0.02385721391682312,0.4502486266902769,1,0.04771442783364624
MTND5P26,+--+--+---+-,0.010704254,0.9910626589500383,0.02392263763961425,-1,0.0478452752792285
CITED4,++++---++--+,0.059443361,0.023926697848210304,0.9876221024146532,1,0.04785339569642061
AIG1,--+--+------,0.047923014,0.9635923287726988,0.023962787189701292,-1,0.047925574379402584
FKBPL,-+++++-+++--,0.022112557,0.023968603745115325,0.9547235321092344,1,0.04793720749023065
STOML1,+++++-+++++-,0.035789837,0.02398184595590671,0.9973848169498888,1,0.04796369191181342
STK17B,++-+-+------,0.021251773,0.9855439460556693,0.024006563031061526,-1,0.04801312606212305
EEF1B2P6,+++---++-++-,0.0169544,0.024025875721515006,0.9438617613654025,1,0.04805175144303001
MYL5,--++-+++++++,0.035618089,0.024026360490878428,0.9961975702032659,1,0.048052720981756857
CHMP2A,+++++++++++-,0.040876429,0.02403273853163141,0.9991216751450896,1,0.04806547706326282
