gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
HLA-C,++++++,0.037248388,0.019886327997533638,0.9976048641649755,1,0.039772655995067276
CYP4F11,-----+,0.063972127,0.9898236255907158,0.019892840935019526,-1,0.03978568187003905
RDH11,------,0.042372196,0.9986527499925716,0.019898656080615494,-1,0.03979731216123099
CCDC62,++-+++,0.009817805,0.019908475581496648,0.9677254247749943,1,0.039816951162993296
EDA,-----+,0.0124431,0.9434530481373916,0.019922484488819937,-1,0.03984496897763987
NIPSNAP1,++++--,0.019151618,0.01993229751233114,0.8579407288845924,1,0.03986459502466228
TIMP4,-+-++-,0.008277324,0.01993549889441096,0.828596475083712,1,0.03987099778882192
IFITM10,-+++-+,0.080296911,0.01993782308681892,0.9884832930624808,1,0.03987564617363784
MAOA,------,0.114066267,0.9988366477772177,0.019942292892789967,-1,0.039884585785579935
LINC01503,+++++-,0.065797966,0.01996499328958801,0.9378790210038405,1,0.03992998657917602
AKAP8L,++++++,0.103051013,0.019967263505436345,0.9977108031154694,1,0.03993452701087269
C11orf1,++-+++,0.026686949,0.019969832397518886,0.9931344619800953,1,0.03993966479503777
TRMT2A,+++++-,0.048696301,0.020008121927364883,0.94062052932949,1,0.040016243854729766
RHOQ,----+-,0.009223331,0.9655346904817467,0.02002585461989223,-1,0.04005170923978446
GAPDH,-+++-+,0.004582047,0.020038037849323197,0.7602483870350298,1,0.04007607569864639
RP11-864N7.2,++++-+,0.003950634,0.020043800826371982,0.832549967787203,1,0.040087601652743964
ZNF507,+---++,0.003923871,0.8744152183703425,0.0200444396386972,-1,0.0400888792773944
ANGPTL6,+++-+-,0.040851155,0.020047229711754804,0.9282889931668319,1,0.04009445942350961
PHEX,------,0.110026739,0.9986972296629174,0.020061732745974507,-1,0.04012346549194901
MYB,++-++-,0.001149129,0.02006914155215501,0.8383074359884473,1,0.04013828310431002
RMI2,------,0.089053063,0.9987520772256108,0.020077023695647615,-1,0.04015404739129523
RPL26P19,+++++-,0.005597251,0.020104956873170588,0.9691675976465323,1,0.040209913746341176
FAM126A,---+--,0.042286755,0.9900521322973168,0.020109486912884337,-1,0.040218973825768674
IGFBP2,--+++-,7.57555e-4,0.020110048619435914,0.6788998993286983,1,0.04022009723887183
ST8SIA3,------,0.086592444,0.9965784832490423,0.020125137465127677,-1,0.040250274930255354
RP11-514O12.4,+-----,0.048946347,0.9124570321459474,0.020176773728028993,-1,0.04035354745605799
CDH11,----+-,0.036770933,0.974351952157757,0.020184613727834276,-1,0.04036922745566855
FMN1,++++-+,0.026397633,0.02018951376886714,0.9461701154858734,1,0.04037902753773428
CNR1,+++-+-,0.00504474,0.46164672858575273,0.020209617700029745,-1,0.04041923540005949
TRA2B,------,0.11275252,0.998002069841118,0.020222910587503126,-1,0.04044582117500625
TMEM30A,------,0.037765402000000003,0.9972795037107823,0.020229183541220712,-1,0.040458367082441424
RPS4XP6,-++++-,0.008133842,0.02022965915301901,0.7813441323281121,1,0.04045931830603802
SEC24D,--+--+,0.041284345,0.8814177462695281,0.020235891666251855,-1,0.04047178333250371
COBLL1,++++++,0.089376513,0.02024819430054506,0.9971393819978858,1,0.04049638860109012
IPPK,----+-,0.021612048,0.9598186368894223,0.020273485029216855,-1,0.04054697005843371
SNORD113-9,-++---,0.028782447,0.6514535654004409,0.02028098606369893,-1,0.04056197212739786
RAPGEF6,----++,0.013791342,0.8770466636443415,0.020293133253346463,-1,0.040586266506692927
AC006195.2,+---++,0.002852898,0.5767044157929827,0.020308106986004656,-1,0.04061621397200931
RP5-837I24.1,++++++,0.080794657,0.020310694074536475,0.9964738719713542,1,0.04062138814907295
CDK6,----++,0.03465912,0.9134294339048613,0.020311451214882554,-1,0.04062290242976511
RP11-10J21.3,++++--,0.005330002,0.020322302103543095,0.597762262997486,1,0.04064460420708619
CTD-2287O16.5,++++++,0.079464131,0.020329881349298026,0.9969209340839906,1,0.04065976269859605
SIAH3,+-+---,0.064713894,0.736014651816336,0.020354566335003998,-1,0.040709132670007996
GOLM1,+-----,0.055124757,0.994551607574566,0.02036469534167438,-1,0.04072939068334876
RASL10B,++++-+,0.039690273,0.020364841207890692,0.9104202027321328,1,0.040729682415781385
EEF1A2,++++-+,0.028744677,0.020368469255748436,0.9822364351766004,1,0.04073693851149687
OPCML,------,0.04765443,0.9971174627766292,0.020381396376975964,-1,0.04076279275395193
ZNF175,----+-,0.02696763,0.9879013265542905,0.020396472970253324,-1,0.04079294594050665
SVIL,++-+-+,0.012375355,0.0203978383646182,0.9607008954329307,1,0.0407956767292364
MYO15B,+-++++,0.108728097,0.020399911050531055,0.9835509589996001,1,0.04079982210106211
AC137723.5,++++++,0.026208875,0.020421293858497985,0.9882566984438551,1,0.04084258771699597
TP53AIP1,+++-++,0.015203446,0.020468265924573292,0.9902049097140402,1,0.040936531849146585
PYGO1,------,0.024158024,0.9892749236320237,0.020472021060806995,-1,0.04094404212161399
KATNBL1,----+-,0.027970977,0.9675345642138377,0.02049316481772013,-1,0.04098632963544026
GOPC,------,0.089515615,0.9991326112924256,0.020493939941267855,-1,0.04098787988253571
P2RX4,++++++,0.061778752,0.020505516112528255,0.9977228003713363,1,0.04101103222505651
MRPS7,+++++-,0.024733594,0.020512140123687836,0.9943353864120452,1,0.04102428024737567
CDH4,++++-+,0.020852332,0.020517771893012682,0.9904417469793454,1,0.041035543786025364
OLFML3,++++-+,0.05092242,0.020530977209971404,0.9968009635126143,1,0.04106195441994281
MSMO1,------,0.090244135,0.9980673010402665,0.020531562585309745,-1,0.04106312517061949
CRELD1,+++++-,0.033941281,0.020531897587657028,0.9802473671985654,1,0.041063795175314055
SULT1B1,++-+++,0.013340363,0.020535799988290887,0.9853788798466843,1,0.041071599976581774
SLC44A3,+-----,0.056975844,0.9945464150673218,0.020555396155440407,-1,0.041110792310880814
RNU7-87P,-+---+,0.042523078,0.6561353534928749,0.020560518648381213,-1,0.041121037296762426
RP11-459O16.1,------,0.104517828,0.9986565334654093,0.02056420448651493,-1,0.04112840897302986
RP11-543P15.1,++++++,0.053669082,0.020567102785427258,0.9908016117980233,1,0.041134205570854517
RNASEK,++++++,0.025010658,0.02057594896761313,0.9937917940284744,1,0.04115189793522626
RP11-314B1.2,+-----,0.077222301,0.9952675670270643,0.020582459970233318,-1,0.041164919940466636
RP11-212D3.4,----++,0.011100121,0.6874274385928494,0.020583242547599065,-1,0.04116648509519813
LRRC75A,-+----,0.01164026,0.9784917290435818,0.020590107259243363,-1,0.041180214518486725
LIPC,++++++,0.075591687,0.02061110494011301,0.9969113564653704,1,0.04122220988022602
CDIP1,++++++,0.007231683,0.020628292016152402,0.9813017547784822,1,0.041256584032304804
CEBPA-DT,+++-++,0.017129081,0.020639479381397423,0.904812371491921,1,0.041278958762794846
CTD-2165H16.3,+----+,0.069287278,0.7110519627966376,0.020656720979924662,-1,0.041313441959849324
PITRM1-AS1,-+-+--,0.03612669,0.7933044783040146,0.020677352684948577,-1,0.04135470536989715
