gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
ZNF572,--+,+---++,NA,0.03683547152365672,0.019313968463850938,-,0.0386,0.017098618628517023,10.4,1
PAXBP1,---,----+-,++-+,0.023169739242524186,0.019333504297988767,-,0.0387,0.025872191,10.4,1
OR2M7,+++,NA,NA,0.02595254391968971,0.019334968345405806,-,0.0387,0.09146874955622321,10.4,1
DEFB116,+-+,NA,NA,0.02589550536162446,0.019334968345405806,-,0.0387,0.08000903004228493,10.4,1
C9orf84,--+,NA,NA,0.026008099013289227,0.019336071184120465,-,0.0387,0.024953356634977053,10.4,1
TOR1AIP1,+-+,------,++-+,0.026848419368681414,0.019342918778023552,-,0.0387,0.02459858,10.4,1
ZNF98,+++,+++-++,NA,0.035401542351130674,0.01939387745064564,-,0.0388,0.019379799,10.4,1
DNAJB12,+--,-++-+-,----,0.021395131244775614,0.019394520137878204,-,0.0388,0.006455243,10.4,1
MIER3,+-+,------,NA,0.03803888651312172,0.01943564065641257,-,0.0389,0.008478458,10.5,1
TMEM247,-++,NA,NA,0.026066621035820213,0.019449038955113216,-,0.0389,0.007363804664777942,10.5,1
BOLA3,-++,++++-+,--+-,0.03165875106454474,0.01945074835878768,-,0.0389,0.004070431,10.5,1
RNF150,+-+,-----+,--+-,0.026648187102422304,0.019525525104142457,-,0.0391,0.021696588,10.5,1
P3H2,-+-,--+-++,----,0.028778287437058625,0.019588634649165194,-,0.0392,0.04101395670118476,10.5,1
TMEM50A,+--,----+-,++++,0.023818328978976257,0.01961203129999197,-,0.0392,0.015389888,10.6,1
DUS1L,++-,++++-+,+---,0.030150316673820444,0.01962814070029731,-,0.0393,0.001654728,10.6,1
MOB3B,---,----++,++-+,0.032089271192838234,0.019635284009248,-,0.0393,0.036688108999999997,10.6,1
BEND4,+-+,------,NA,0.04735920554754566,0.019636760066704312,-,0.0393,0.003839183,10.6,1
CPSF7,+--,-++-++,NA,0.03736841834762347,0.019643970533669057,-,0.0393,0.005790859143257336,10.6,1
KLHL24,--+,++-+-+,++-+,0.02345675638195384,0.01966271456547238,-,0.0393,0.017899251,10.6,1
RAB8B,--+,-+-+--,+-++,0.02531097110790012,0.019662785805439724,-,0.0393,0.019513552168518793,10.6,1
FFAR4,+++,+++-++,NA,0.03637243838125589,0.019676969605128006,-,0.0394,0.008824627,10.6,1
C11orf42,+-+,NA,NA,0.02635031084241145,0.019678302532511977,-,0.0394,0.0066953756772166395,10.6,1
PLXND1,++-,++++++,--+-,0.034596089233975134,0.01967912920517642,-,0.0394,0.002791069,10.6,1
DDIT4,---,------,---+,0.02757439767982292,0.019688587282266124,-,0.0394,0.001883801,10.6,1
RFTN1,++-,+-+-+-,-+-+,0.02211588897432329,0.019699804565707673,-,0.0394,1.22378e-4,10.6,1
DDX54,++-,++++++,--+-,0.03457738057005834,0.019726529502658477,-,0.0395,0.009722637,10.6,1
PKD1,-+-,++++++,----,0.028490580354830788,0.019734272039762794,-,0.0395,0.003718103,10.6,1
TNNT2,++-,NA,--+-,0.025237301740332497,0.019747334406258053,-,0.0395,0.0491144217526696,10.6,1
ABCD3,+-+,------,-+++,0.02739752217081814,0.019750394776655553,-,0.0395,0.008219801,10.6,1
MTRR,---,----+-,----,0.03005929078556321,0.019765877376987744,-,0.0395,0.06452993349307982,10.6,1
KLHL5,-++,-----+,++-+,0.023361646251756723,0.019766806083723634,-,0.0395,0.008627247,10.6,1
RPS7,-+-,++++++,+-+-,0.03605542497271024,0.019777483367452955,-,0.0396,0.005129765,10.6,1
POU2F2,-++,++++++,NA,0.043708245395118646,0.019815050006163546,-,0.0396,0.019710317,10.7,1
CTBP1,++-,++++-+,+-+-,0.03440876501137608,0.01982376925955073,-,0.0396,7.86831e-4,10.7,1
SYNE4,-+-,NA,NA,0.026521416756972567,0.019849418206707735,-,0.0397,0.023485721308029464,10.7,1
UTS2,+++,NA,NA,0.026579968058407483,0.01990532139394285,-,0.0398,0.10452749399239877,10.7,1
SLFN5,-+-,------,NA,0.0394858161880509,0.01992805601316246,-,0.0399,0.013905282,10.7,1
GMFG,-++,+++++-,-+++,0.033165002473542586,0.01993614444101084,-,0.0399,0.020611784,10.7,1
PROC,-++,+-++++,+-++,0.019947091842960493,0.025561338516838575,+,0.0399,0.003922472,10.7,1
PROC,-++,+-++++,---+,0.019947091842960493,0.025561338516838575,+,0.0399,0.003922472,10.7,1
MX2,-++,-+++++,--++,0.03719020668080964,0.01995324951805459,-,0.0399,0.003329921,10.7,1
FLNC,-+-,----+-,+-++,0.028515650702788203,0.01996949457231797,-,0.0399,0.026397753,10.7,1
TMEM165,-+-,----++,+---,0.023890723291429092,0.020000787874037276,-,0.04,0.01680206,10.8,1
CD96,+++,NA,NA,0.02675108373260324,0.02001939200365026,-,0.04,0.014759604082277276,10.8,1
PIH1D1,-+-,++++++,+-+-,0.035453750412059906,0.020020922021333286,-,0.04,9.8196e-4,10.8,1
BMP8B,--+,-+-+++,++++,0.023045471711854417,0.020021246234987,-,0.04,0.009464981,10.8,1
MLLT6,++-,++++++,--+-,0.03520289479200506,0.020031817242157086,-,0.0401,0.001018653,10.8,1
TAF1A,---,+-----,NA,0.03810781231001015,0.020032944441327,-,0.0401,0.013424851,10.8,1
DDX60L,-++,++-+++,NA,0.03648205734055353,0.020059525824186745,-,0.0401,0.075185897,10.8,1
TRMT112,++-,+++++-,NA,0.03986307877512855,0.02006000895673564,-,0.0401,0.004157229,10.8,1
FABP6,+++,++++++,---+,0.02631847895786688,0.020069744728719707,-,0.0401,0.021424257,10.8,1
GABBR2,+++,++++--,----,0.024268536829407418,0.020085679651961428,-,0.0402,0.103994446,10.8,1
DENND4A,--+,+++-++,---+,0.03143203882921442,0.02008776530010377,-,0.0402,0.013904055,10.8,1
MVB12A,++-,++--++,++++,0.023788573325159018,0.02009136910973408,-,0.0402,0.014157772,10.8,1
NR4A2,---,------,++-+,0.02996669345624096,0.020117141417372187,-,0.0402,0.016457584,10.8,1
PPME1,+--,-++---,----,0.025561328300550207,0.020128013056451472,-,0.0403,0.06315104953457826,10.8,1
CARD14,---,+-+++-,NA,0.03661948457412464,0.020131259853102823,-,0.0403,0.012636874756718748,10.8,1
ARHGAP9,++-,++++++,+---,0.03335100905157712,0.02015344813856511,-,0.0403,0.001920827,10.8,1
SULT1A2,+++,++++++,--++,0.0342874297262681,0.020155731467234272,-,0.0403,0.05545047,10.8,1
CREB5,---,----++,+-++,0.023492085196430725,0.02019644354947271,-,0.0404,0.010071161,10.9,1
GNAI3,---,------,---+,0.02793028995536592,0.020223845239077047,-,0.0404,0.009694757,10.9,1
DUSP4,---,------,--+-,0.027379854310289425,0.02025892165722567,-,0.0405,0.012085206,10.9,1
SLC6A13,++-,-+-+++,-++-,0.02607146315617617,0.020264852226924042,-,0.0405,0.00277088,10.9,1
COPS7A,+--,++++++,---+,0.028818824394170627,0.02027362332946804,-,0.0405,0.008732581,10.9,1
C4orf47,--+,+---+-,NA,0.037104841721768526,0.020288104470077253,-,0.0406,0.006705623,10.9,1
SFT2D2,-+-,------,NA,0.043473885686784404,0.020296299770655137,-,0.0406,0.020476061,10.9,1
