gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
CUL1,++++,++-+++--,-+---+,0.3394641396525934,0.512300610386862,+,0.679,0.018076118,183,1
BTN2A1,--+-,--+-----,-+-+-+,0.33947177333711415,0.39059262387523885,+,0.679,0.008905346,183,1
NBPF6,----,NA,NA,0.33950041788740504,0.5988979132453076,+,0.679,0.2579101475315356,183,1
NLE1,+++-,+-+-++++,-+++-+,0.33954688047572745,0.5246833626794355,+,0.679,0.070356648,183,1
HTN1,++-+,NA,NA,0.3396642421558264,0.8144628866942754,+,0.679,0.21677695991280038,183,1
HSP90AB1,-++-,+--++-++,++---+,0.3397200542076317,0.4315910160620068,+,0.679,0.034853652,183,1
ODF3L1,+--+,NA,NA,0.7762907769572148,0.33986973335404824,-,0.68,0.22093775945733368,183,1
PPY,--+-,+++-++--,NA,0.3398895633577533,0.4896950438945761,+,0.68,0.093588094,183,1
FBXO24,++-+,NA,NA,0.33995585450562493,0.8574007367429252,+,0.68,0.2510059435976262,183,1
EPHB1,++++,--+-++--,+++-+-,0.33997346736109707,0.4864077691208432,+,0.68,0.030244725,183,1
LRR1,-+++,++++++--,NA,0.3401107581733727,0.7159604143379518,+,0.68,0.126760231,183,1
KRTAP1-5,+++-,NA,NA,0.6882833198970313,0.3402234359276543,-,0.68,0.1059699331688302,183,1
NME9,+---,+++-+--+,NA,0.34032279599305765,0.6849711672835135,+,0.681,0.120287122,183,1
NME7,+---,+---+---,-+---+,0.45307035283561053,0.3403339954157129,-,0.681,0.004430618,183,1
WDR5,+-+-,+++-++++,+-+---,0.34037725583656814,0.4497078875334206,+,0.681,0.066587921,183,1
WHAMM,++-+,+---+--+,NA,0.7420420939673167,0.3404009010407202,-,0.681,0.091828816,183,1
IL24,+++-,NA,NA,0.34048707085745394,0.8310083034310225,+,0.681,0.19264503665585192,183,1
KTI12,+-+-,+++-++-+,+++--+,0.3404903007262192,0.8552050966829366,+,0.681,0.089383427,183,1
SBSN,+---,NA,NA,0.3405257710738598,0.8607818664507001,+,0.681,0.29777397151569407,183,1
NAPG,++++,-+++-+++,+--+-+,0.3406569363477054,0.49398420131041276,+,0.681,0.022979018,183,1
NKAIN1,+-++,-++---+-,+++++-,0.3407903924567835,0.4320372523651152,+,0.682,0.028958866230181374,183,1
SFRP4,----,++++++-+,NA,0.3407933889929206,0.42474556263671104,+,0.682,0.018480806723179134,183,1
PATL2,---+,+-+--+-+,NA,0.3408110969837725,0.46859574829355716,+,0.682,0.012715351368892744,183,1
ALKBH2,+++-,++++--+-,-+-+--,0.3409834443291877,0.9597157302725275,+,0.682,0.031265792,183,1
FCGR2B,++-+,++++++++,NA,0.7607860967748141,0.34100578133545867,-,0.682,0.0170262,183,1
SREBF1,----,--+-----,----++,0.6425772407853315,0.34104402932525996,-,0.682,0.07167912,183,1
SIGLEC12,---+,NA,NA,0.8586353442546277,0.34108653207775363,-,0.682,0.32302413756365767,184,1
PGBD3,-++-,NA,NA,0.6225772177808911,0.34115123905276135,-,0.682,0.11477545999374113,184,1
