gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
RNF34,+++-,+++++-+-,+++---,0.10123327837178289,0.10982667349773242,+,0.202,0.028554307,54.5,1
ARL2,+-+-,++++++++,++-+--,0.14176346325669414,0.10127056835999768,-,0.203,0.071834254,54.5,1
NTRK2,++-+,++------,+++-++,0.1200935602657119,0.10132009932128616,-,0.203,0.032451473,54.5,1
OR2M3,++++,NA,NA,0.101357517681953,0.11897564592482747,+,0.203,0.19798236537066696,54.5,1
LONP2,++++,++++----,+++--+,0.10925919835320816,0.10138591893309794,-,0.203,0.004020974,54.5,1
DNAJB9,-++-,++++-+--,++--++,0.11545736686819146,0.10142016669799564,-,0.203,0.005313259,54.6,1
ANKRD49,-+++,+++-+---,+-++++,0.10144307413073349,0.12065339561858728,+,0.203,0.02637896,54.6,1
CCDC126,++++,++-+---+,-----+,0.10147252246936296,0.11266435782125782,+,0.203,0.007365893,54.6,1
BTBD3,++++,++-+++++,+++--+,0.12517689046355082,0.10149282577429661,-,0.203,0.005749813,54.6,1
FAM103A1,++++,--++++++,-+--++,0.10150980169320654,0.10602595592116938,+,0.203,0.024879026,54.6,1
WBSCR27,++--,-+---++-,NA,0.14651020398484574,0.10154496627742818,-,0.203,0.010064884,54.6,1
PRKG1,----,+++-----,NA,0.12532796962927856,0.10163496749722747,-,0.203,0.04815431,54.7,1
OGDH,+++-,--+-++++,+---++,0.11472386284297602,0.10166119346605608,-,0.203,0.019133465,54.7,1
ACO1,-+++,+++-----,+-+-++,0.1016896481783192,0.12051401647168161,+,0.203,0.07134888065620336,54.7,1
C12orf29,++++,++-++++-,++--++,0.10172099809180916,0.10310338993091024,+,0.203,0.004336891,54.7,1
RAB28,+---,+++-----,-----+,0.1090601475238959,0.10172334114059493,-,0.203,0.013878839,54.7,1
KCTD4,----,+-+++---,-----+,0.10172914578889379,0.14594882481888213,+,0.203,0.03838700482071753,54.7,1
STKLD1,----,++++++--,NA,0.14662711795962835,0.10174236643298115,-,0.203,0.128766461,54.7,1
C9orf91,++++,---+--++,+++--+,0.10174685760273462,0.12555696143398368,+,0.203,0.044725281,54.7,1
THOP1,+-+-,-+--++++,+++---,0.14271615866843412,0.10183976772277174,-,0.204,0.009645612,54.8,1
CETP,----,NA,NA,0.10186505446871613,0.11978097193702943,+,0.204,0.18314303296447465,54.8,1
RPS19BP1,----,+++--+++,++---+,0.12047779216175401,0.10187095867708094,-,0.204,0.021805957,54.8,1
GRIP2,--+-,+-+-++-+,-+--+-,0.1026480606047881,0.10191963702537349,-,0.204,0.007529494,54.8,1
ATP1A4,++--,-----+-+,+++---,0.10196834622834149,0.10376505434951848,+,0.204,0.015806646,54.9,1
ADK,+++-,++++-+-+,-+--++,0.1254256868557193,0.1019778147047868,-,0.204,0.00941236,54.9,1
CMC2,----,------+-,------,0.10632216554983466,0.10199368978503727,-,0.204,0.026831929,54.9,1
MAN2B1,----,--+-+-++,--++--,0.10199578505048712,0.11426774361590189,+,0.204,0.005329869,54.9,1
CCDC142,+---,+++-++++,NA,0.14701192377185066,0.10204256437430549,-,0.204,0.063455126,54.9,1
ABLIM1,-+++,+-+--+--,+++--+,0.11895565179548293,0.10207093506072257,-,0.204,0.013207959,54.9,1
ZBED2,-+--,NA,NA,0.10209319568813095,0.12000912616929044,+,0.204,0.17120889087303157,54.9,1
FEZF2,+---,-----+++,-+-+--,0.13276091481205163,0.10209975412082005,-,0.204,0.004085608,54.9,1
KCNJ11,+-+-,--++++++,NA,0.14242362152660296,0.10212341050538333,-,0.204,0.062038864,54.9,1
FXR2,+-+-,-++-++++,++----,0.12047475495415538,0.1021246100059927,-,0.204,0.050863483,54.9,1
TMA7,+-++,+-+-++++,---+-+,0.13084329080390375,0.10213722174103104,-,0.204,0.010901691,54.9,1
CXCL8,-+--,++-+++++,NA,0.1790153387272392,0.10214108317849237,-,0.204,0.01612644,55,1
GIPC2,----,-++-++-+,NA,0.12566712273661626,0.1021888906176328,-,0.204,0.097915195,55,1
FBXL5,+++-,++++++--,++++++,0.1187212834258101,0.10222225150166042,-,0.204,0.006080101,55,1
FBXO31,+-+-,----++++,+++--+,0.10223810377913832,0.12588397889586606,+,0.204,0.028456273,55,1
GLMN,++++,++--++--,-++---,0.10224077266520208,0.13690484348979784,+,0.204,0.05392873438559802,55,1
USP20,+++-,++++++++,+++---,0.13641993184055223,0.10228352801725565,-,0.205,0.006960155,55,1
STX10,----,-+---+++,++-+--,0.11274422856350325,0.10228533848294148,-,0.205,0.004646629,55,1
