gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
RPS15A,+-+-,0.023725936,0.27070154944858255,0.07771857737105152,-1,0.15543715474210304,0.16425956061838892,0.2176787712338521,0.32851912123677784
MGRN1,--+-,0.121631648,0.9606872062745135,0.07773350031726153,-1,0.15546700063452307,0.16425956061838892,0.21778049028583055,0.32851912123677784
TMEM158,--+-,0.082759551,0.8347700306815946,0.07778235031048335,-1,0.1555647006209667,0.16425956061838892,0.21788220933780897,0.32851912123677784
C17orf59,+---,0.067288296,0.7824086118848907,0.07780721972579994,-1,0.1556144394515999,0.16425956061838892,0.21798392838978742,0.32851912123677784
ZNF516,--+-,0.069402528,0.7549777149581951,0.07782300747408151,-1,0.15564601494816302,0.16425956061838892,0.21808564744176584,0.32851912123677784
UROD,+--+,0.024892603,0.07782576303082425,0.31706586911123547,1,0.1556515260616485,0.16427626894517344,0.21816517493897478,0.3285525378903469
PRDM12,--+-,0.038053464,0.9132319305495031,0.07782603087947002,-1,0.15565206175894003,0.1643612693246542,0.2181873664937443,0.3287225386493084
RTF1,+--+,0.007549906,0.2805576289195083,0.077844696810145525,-1,0.15568939362029105,0.1643612693246542,0.2182890855457227,0.3287225386493084
SHC3,--++,0.013149157,0.29913364157949535,0.0778882436924051,-1,0.1557764873848102,0.1643612693246542,0.21839080459770116,0.3287225386493084
CA2,++-+,0.072946161,0.07789224347897715,0.9136143033181221,1,0.1557844869579543,0.16437798799715186,0.21847030105777054,0.32875597599430373
HS3ST5,+--+,0.012346067,0.6441412431232773,0.0778926484813533,-1,0.1557852969627066,0.16446297803091944,0.21849252364967958,0.3289259560618389
MLLT1,--++,0.071660112,0.43992685925939384,0.07790789904793015,-1,0.1558157980958603,0.16446297803091944,0.21859424270165803,0.3289259560618389
LRRK1,++--,0.026390262,0.0779243968896032,0.21065564619155003,1,0.1558487937792064,0.1644797070491303,0.21867371847030107,0.3289594140982606
