gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
F11R,+-+-,0.021863296,0.5169767616406504,0.07376926027628886,-1,0.1475385205525777
ZC3H18,-+++,0.067338764,0.0737751657027601,0.752424419926322,1,0.1475503314055202
PAX6,--+-,0.052480524,0.9321341190341832,0.0737869409120767,-1,0.1475738818241534
WDR27,+-+-,0.007559738,0.6148609994905307,0.07379816547080525,-1,0.1475963309416105
RC3H1,+-++,0.036719288,0.0738008640273914,0.7056652140687314,1,0.1476017280547828
FANCL,----,0.147064326,0.9883878632917524,0.07380894515676278,-1,0.14761789031352557
INHBB,+++-,0.019285206,0.0738433110984742,0.7262450418748112,1,0.1476866221969484
VLDLR,-+--,0.022008146,0.6083008643278641,0.07387490358464599,-1,0.14774980716929198
NICN1,-+-+,0.016099719,0.5440940844168544,0.07390816186120497,-1,0.14781632372240994
TBC1D23,+--+,0.027265075,0.07400276215272619,0.5750093513219624,1,0.14800552430545239
NOC3L,+-+-,0.069314888,0.6671914907313885,0.07401539022918385,-1,0.1480307804583677
LITAF,--+-,0.072255618,0.6636751256989106,0.07406350513541644,-1,0.1481270102708329
YWHAB,-+-+,0.059494382,0.07406473645144424,0.5026921584407589,1,0.14812947290288847
LOC90586,+-+-,0.052688015,0.07406843862972269,0.5681703260194647,1,0.14813687725944538
GOLPH3L,---+,0.01837912,0.8946412226932957,0.07410465910231478,-1,0.14820931820462957
PPP1R1A,++++,0.158086798,0.07414874894972204,0.9847312616353237,1,0.14829749789944408
PEX16,+++-,0.151669382,0.07419840661170043,0.9557703277514042,1,0.14839681322340087
MTRR,+-+-,0.021034176,0.21313050322051094,0.07421145632670673,-1,0.14842291265341345
TMEM49,-+-+,0.041077434,0.4601806617010504,0.0742383770283744,-1,0.1484767540567488
CACNA2D2,+--+,0.078548783,0.07426809018695502,0.8510377104295346,1,0.14853618037391003
STK38L,++++,0.17579897,0.07430285642939109,0.9837347153310533,1,0.14860571285878219
LSM11,+-+-,0.019326592,0.07431122174108662,0.36584973275980937,1,0.14862244348217324
MRPL23,-++-,0.029232397,0.5551050072967414,0.0743984506732147,-1,0.1487969013464294
CRTC2,-+++,0.12595618,0.07440334257000242,0.957008726961133,1,0.14880668514000484
MAP7,--+-,0.092633333,0.6053843592761595,0.07442825794047492,-1,0.14885651588094984
SGTB,-++-,0.064364794,0.4090750904048979,0.07446829396270545,-1,0.1489365879254109
PFDN6,++++,0.190497753,0.07447916479333,0.9906419123622185,1,0.14895832958666
LYPLA2P1,++--,0.036058146,0.6510526459170941,0.07450688280375532,-1,0.14901376560751065
STAT2,+-++,0.088840449,0.07453718612050839,0.9048147703297119,1,0.14907437224101677
KCTD17,----,0.169100094,0.9797400189133264,0.07462901262757465,-1,0.1492580252551493
CCHCR1,-+++,0.098611985,0.07463167318628283,0.740678376898253,1,0.14926334637256566
C1orf163,+++-,0.003988577,0.40929415695456733,0.07463453941609094,-1,0.14926907883218188
