gene_symbol,male_ACC.1_male_ACC.2_male_AMY_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
KTELC1,+---,0.029902715,0.9570198102003447,0.024429774589386027,-1,0.048859549178772055
CASKIN1,++++,0.01738633,0.024459089570978934,0.9749309361296327,1,0.04891817914195787
VKORC1L1,++++,0.005696629,0.02448532407240297,0.9413268110660373,1,0.04897064814480594
RPUSD4,-+++,0.015924251,0.024485979568510483,0.9495766773499055,1,0.048971959137020966
GCC2,+---,0.08728427,0.9801099702318035,0.024487011172972615,-1,0.04897402234594523
B3GALT6,----,0.031285768,0.9860534932160805,0.024496935056016567,-1,0.048993870112033135
TCEAL3,-+++,0.014471536,0.024499088140585764,0.9325783509974218,1,0.04899817628117153
SPRED1,----,0.113447191,0.9934852047260663,0.024503004679797324,-1,0.04900600935959465
NECAP2,+++-,0.013677528,0.02452292912280214,0.24352375875335955,1,0.04904585824560428
STRBP,+---,0.032255805,0.9190447740178358,0.0245270583614244,-1,0.0490541167228488
PLD3,----,0.068478839,0.990561336294931,0.024539359028484642,-1,0.049078718056969284
RXFP1,++-+,0.019314139,0.024583896616124336,0.4907200917792519,1,0.04916779323224867
PRICKLE1,----,0.043609925,0.9933963558837544,0.024587779464225395,-1,0.04917555892845079
SAP30L,-+-+,0.002355712,0.02459647350817493,0.4719724226232964,1,0.04919294701634986
DLK2,---+,0.01081264,0.9416115352120267,0.024638137875567043,-1,0.04927627575113409
LUZP1,+---,0.056394757,0.9801817068964365,0.024687615542263272,-1,0.049375231084526544
SEPT15,-+++,0.033112266,0.02469317963607722,0.9121751337950795,1,0.04938635927215444
PVR,+-+-,0.043215262,0.9192828055052323,0.02469459868196988,-1,0.04938919736393976
SEPT6,++++,0.069303652,0.024695300326163194,0.9920652537983208,1,0.04939060065232639
AGPAT3,---+,0.041932397,0.6369146194424928,0.024715796154905448,-1,0.049431592309810896
RFWD3,++++,0.031519101,0.02476374096774661,0.9887578404183283,1,0.04952748193549322
ADRBK1,-+--,0.034803839,0.9620852509846131,0.024779204572847022,-1,0.049558409145694045
SAV1,++++,0.03006264,0.024816955279282685,0.9920474063509754,1,0.04963391055856537
SLC35A1,+-+-,0.016114232,0.024817181205888293,0.6812155495335435,1,0.049634362411776586
GPR156,-+++,0.038491573,0.02481839011408465,0.9333184327225483,1,0.0496367802281693
TUBGCP2,----,0.059104401,0.9898319207374852,0.024850850935331254,-1,0.04970170187066251
PIGQ,----,0.099782772,0.9921882955059333,0.02487935976991783,-1,0.04975871953983566
RAB8B,+-++,0.025993165,0.024893547974743153,0.8960708603555521,1,0.049787095949486306
KIAA0319L,--+-,0.036783801,0.763816103155931,0.02496351895699933,-1,0.04992703791399866
STX7,++++,0.022819101,0.02498407374590637,0.9743324231509445,1,0.04996814749181274
PLTP,+-++,0.00113764,0.5583122451651009,0.025010216172867233,-1,0.050020432345734465
LYN,-+++,0.041937921,0.025033202195316087,0.7754709452971158,1,0.050066404390632174
KIAA0892,+---,0.00868324,0.40382305278845304,0.025047647455515513,-1,0.05009529491103103
NAPA,----,0.14729485,0.9981933542579284,0.02505082186929612,-1,0.05010164373859224
C14orf45,----,0.073316386,0.9891776933542111,0.02506899473999895,-1,0.0501379894799979
BAG1,-+++,0.019954963,0.02507404252280387,0.7463517226696077,1,0.05014808504560774
COBL,-+-+,0.013193539,0.025076682349917674,0.3563784648900305,1,0.05015336469983535
APC,+-++,0.003922472,0.025082421564075516,0.10252662435000606,1,0.05016484312815103
MYADM,+---,0.076950562,0.96343278374734,0.025107542581829196,-1,0.05021508516365839
KIAA1671,--++,0.006817603,0.7734665307815172,0.025127600086596095,-1,0.05025520017319219
CTDSPL2,-+-+,0.00195103,0.025136063723088135,0.31110706687804274,1,0.05027212744617627
RAB4A,+-++,0.006038483,0.02517682475318802,0.35243825319399547,1,0.05035364950637604
TUBG1,--+-,0.053440356,0.9611975831835974,0.025232894771332382,-1,0.050465789542664764
CNP,++-+,0.10526676,0.02524822733400616,0.9790553299554131,1,0.05049645466801232
SERBP1,-++-,0.009346723,0.8086686089143835,0.025254888636899328,-1,0.050509777273798656
ME3,+-+-,0.027075749,0.822221923357618,0.025258235085571606,-1,0.05051647017114321
SOD3,----,0.119101311,0.9974584734751621,0.025280603865485626,-1,0.05056120773097125
GM2A,++++,0.036525468,0.025288641349474162,0.9892776303910443,1,0.050577282698948324
TM4SF18,+++-,0.009846629,0.025301640462021175,0.649996958989593,1,0.05060328092404235
