gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
GPSM1,-+++-+,0.156619382,0.7020118993369405,0.4918170752740833,-1,0.9836341505481666
CDC2L6,--+-++,0.062792509,0.6970141847400356,0.10454964244558436,-1,0.20909928489116872
NCOA7,-----+,0.232316479,0.8886711063307723,0.2308600086438119,-1,0.4617200172876238
C1GALT1,--++--,0.108616479,0.789884554064222,0.36580286786071403,-1,0.7316057357214281
SLC25A40,-+--++,0.024574157,0.8188653602307053,0.06428642728548714,-1,0.12857285457097428
C12orf26,----++,0.014647659,0.9596159749989848,0.031211732320625244,-1,0.06242346464125049
TIMM17B,-++--+,0.063542978,0.1767573691875307,0.6721953304874926,1,0.3535147383750614
MTHFD1,+-+-++,0.029904588,0.4984490131502016,0.17803314119237929,-1,0.35606628238475857
FBXL17,++---+,0.085997753,0.16297784674072693,0.5638053981632374,1,0.32595569348145387
SEMA4B,+++---,0.040311423,0.027073925076532578,0.9816163146083424,1,0.054147850153065155
HERC5,-++-+-,0.036762921,0.12706206194247308,0.7005924836165678,1,0.25412412388494615
C10orf85,-++++-,0.124336704,0.4316851436775744,0.49646347281916936,1,0.8633702873551488
SPAG7,-++--+,0.065466948,0.4996054677989906,0.4330472226222218,-1,0.8660944452444436
SLC39A4,----+-,0.311815075,0.6390887338295768,0.6430557136496494,1,1.2781774676591535
DUSP11,-+-+++,0.098453652,0.9334166078613401,0.18187463809475116,-1,0.3637492761895023
SLC39A3,+++---,0.133435206,0.021714285542460562,0.9982622019609941,1,0.043428571084921125
LRP2BP,+-++--,0.045202154,0.1503431881159509,0.7633054026592052,1,0.3006863762319018
WDR3,++---+,0.075518446,0.2164093407655801,0.7690138259054432,1,0.4328186815311602
DOLPP1,+--+--,0.179015262,0.7803383761229035,0.33914255261192877,-1,0.6782851052238575
PNRC1,+--+-+,0.148629775,0.8022504090253046,0.24259315902068526,-1,0.4851863180413705
DDX27,-+++--,0.102658146,0.13040090629207657,0.7597515777128198,1,0.26080181258415314
CCDC113,--+-++,0.200806273,0.7789516341138778,0.25134516235629367,-1,0.5026903247125873
IQCB1,---+-+,0.223655431,0.947470721902119,0.21552796880141623,-1,0.43105593760283245
BHLHB9,----++,0.063966386,0.7449180312111283,0.0807522903731107,-1,0.1615045807462214
PITPNM1,+-++-+,0.047565449,0.36989753620055277,0.5362644495383839,1,0.7397950724011055
FAM102B,+--+--,0.105271816,0.19979328502669869,0.8213701509485604,1,0.39958657005339737
C1QBP,-+---+,0.126007865,0.7654178097858927,0.19033749050267332,-1,0.38067498100534664
RSAD2,+--+++,0.170093727,0.9852265511049864,0.0899749913291519,-1,0.1799499826583038
TOM1L1,-++-++,0.059754026,0.17922313201814427,0.6352257628341894,1,0.35844626403628854
COTL1,+-++-+,0.100392416,0.4908214871491201,0.5569412271638009,1,0.9816429742982402
GRPEL2,+---++,0.063229588,0.9510860631243527,0.028935273245937792,-1,0.057870546491875584
C1orf91,+-+--+,0.088161985,0.06485432216303179,0.9074481471161687,1,0.12970864432606358
NFAM1,------,0.445634082,0.7452829724657188,0.574951703673037,-1,1.149903407346074
CHGA,++++--,0.127387828,0.10456079939596703,0.9829525914842433,1,0.20912159879193407
FKBP2,++----,0.152729775,0.15477943812900485,0.9298210413911184,1,0.3095588762580097
ZNF498,+++-+-,0.150039794,0.2739261478557257,0.7486264613119509,1,0.5478522957114514
SLC5A3,+++---,0.113885581,0.07036958868014932,0.9920601867673466,1,0.14073917736029865
PSMD11,+--+-+,0.081567697,0.7810781855331423,0.12576523724856883,-1,0.25153047449713767
COX17,++---+,0.182341105,0.1972525399255318,0.797806913790695,1,0.3945050798510636
MED12,--++--,0.09771161,0.49632054857030705,0.4450617441891341,-1,0.8901234883782682
MNS1,--++-+,0.036431929,0.8458265773134712,0.16062926686249143,-1,0.32125853372498286
SETX,-+-++-,0.057257678,0.30577171712059953,0.33592703110049027,1,0.6115434342411991
VCL,-+-+--,0.292119382,0.39495028169510715,0.7601321044098346,1,0.7899005633902143
CAMK1,++++--,0.072108895,0.08455528597106707,0.9767166048398068,1,0.16911057194213414
