gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
CKLF,---+,++------,------,0.999109394008391,6.748343588308809e-5,-,1.35e-4,0.005335351,0.0363,1
DDHD1,-+++,--------,+----+,0.9828336733866581,6.82826777754673e-5,-,1.37e-4,0.001059162,0.0367,1
PRF1,----,NA,NA,0.9999722175353273,6.945325928765346e-5,-,1.39e-4,0.0015866476679406987,0.0374,1
SORBS1,+++-,----++--,------,0.9009473551755277,6.966570560517191e-5,-,1.39e-4,0.002800585,0.0375,1
FAM160A1,---+,----+---,NA,0.9988911112186624,7.051697736529433e-5,-,1.41e-4,0.011835372862052797,0.0379,1
MRPL4,+-+-,++-+++++,+-----,7.09745360572488e-5,0.0966637300425928,+,1.42e-4,4.65164e-4,0.0382,1
CPSF6,-+++,--------,+----+,0.9805145437996601,7.130353563048845e-5,-,1.43e-4,0.005782022,0.0384,1
ERP44,-++-,-+------,NA,0.785043602457054,7.182055176914941e-5,-,1.44e-4,7.58422e-4,0.0386,1
DNAJB12,+++-,-----++-,+-----,0.9051269272941911,7.236262311848579e-5,-,1.45e-4,0.006455243,0.0389,1
SLC37A4,++++,++++++++,-+++--,7.279502947959121e-5,0.9837020191509229,+,1.46e-4,2.43543e-4,0.0392,1
FAM43B,+-+-,--+-----,-++---,0.9568869452783713,7.514501291041945e-5,-,1.5e-4,0.003739818,0.0404,1
EXOC7,++++,-+--++++,+++--+,7.555006975963463e-5,0.7612038954376782,+,1.51e-4,7.08895e-4,0.0406,1
CHD1,-+--,----+---,--++--,0.9941271665742206,7.609646154172184e-5,-,1.52e-4,0.002491281,0.0409,1
PSME4,-+--,--------,+-++--,0.48225025625265816,7.72303636599997e-5,-,1.54e-4,0.006175655,0.0415,1
CHCHD10,+-+-,+---++++,NA,7.775720817704373e-5,0.9409886941235247,+,1.56e-4,7.98659e-4,0.0418,1
PRDX2,+-+-,++++-+++,-+++-+,7.845173691152202e-5,0.9718735824725954,+,1.57e-4,0.008544984,0.0422,1
NKG7,----,NA,NA,0.9999587345977833,7.877289677602663e-5,-,1.58e-4,0.001449290958212355,0.0424,1
SLCO1A2,----,++++---+,---+++,0.2269809291847276,7.897657990397401e-5,-,1.58e-4,3.41573e-4,0.0425,1
