gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,signed_log_p,minp,Corrected_p,Bonferroni_meta_p
ANKRD42,+++,++++-+,NA,3.275512375257566e-5,0.9999751693777572,+,6.55e-5,4.18369075975111,0.014227852,0.0176,1
ZNF680,+++,++++++,-+-+,3.329213747204067e-5,0.9825610633016357,+,6.66e-5,4.1766283250546286,0.003373585,0.0179,1
FBXL18,-+-,----+-,---+,0.9872344969884346,3.41519242452116e-5,-,6.83e-5,4.165554825878236,0.008674832,0.0184,1
SLFN11,-++,++++++,NA,3.531948824491552e-5,0.9882573080659257,+,7.06e-5,4.150955602013144,0.026029852,0.019,1
NOL6,+++,------,+++-,0.07429368037578622,3.574331517322425e-5,-,7.15e-5,4.145775173719073,4.95106e-4,0.0192,1
SELPLG,---,--+--+,+-+-,0.8119877588693348,3.5768907813071386e-5,-,7.15e-5,4.14546432496418,0.0015143133484206645,0.0192,1
PRKCD,++-,----+-,-+--,0.994675730101814,3.6549886858354676e-5,-,7.31e-5,4.136083967416101,0.001903436,0.0197,1
EDN1,+++,----+-,++++,3.747197342326872e-5,0.9535386066342542,+,7.49e-5,4.125263438963921,9.17416e-4,0.0202,1
KMO,---,------,NA,0.9986891916917701,3.802778182231622e-5,-,7.61e-5,4.1188690107788535,0.013332938,0.0205,1
NFX1,+++,+-+-+-,-+++,3.8677075618066444e-5,0.8978220448124601,+,7.74e-5,4.111516374782077,3.34363e-4,0.0208,1
KHDRBS3,+--,------,---+,0.9994830539534093,3.8693531517523656e-5,-,7.74e-5,4.1113316352097415,0.002885674,0.0208,1
MTPAP,-++,------,NA,0.8322118179264872,3.9164021384364e-5,-,7.83e-5,4.106082725306762,0.006696149,0.0211,1
C8orf33,+++,++++++,----,3.9557246254681374e-5,0.178195792202808,+,7.91e-5,4.101743953413469,4.21041e-4,0.0213,1
GC,--+,++++++,++-+,4.000632839138669e-5,0.6167386349633741,+,8e-5,4.096841308806288,0.003975944839241746,0.0215,1
MPZ,---,+-+-++,-+--,0.9114359891974257,4.005742029760159e-5,-,8.01e-5,4.0962870270916705,0.019370225,0.0216,1
MPZ,---,+-+-++,--+-,0.9114359891974257,4.005742029760159e-5,-,8.01e-5,4.0962870270916705,0.019370225,0.0216,1
TMEM171,---,NA,NA,0.9999659599195602,4.0922672657431775e-5,-,8.18e-5,4.087006014621641,7.905890022530246e-4,0.022,1
