gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
LLGL1,----,-+++---+,------,0.28571665907348,0.18323433183941756,-,0.3664686636788351,0.011801197479912111,98.58007052960664,1
GP2,+---,NA,NA,0.7090044941712232,0.1832804289612696,-,0.3665608579225392,0.13310557469957057,98.60487078116304,1
KLHDC7A,--+-,NA,NA,0.8530883793227859,0.18331242356913122,-,0.36662484713826243,0.09393905438664392,98.62208388019259,1
TGFBR3,++++,+-+-----,+----+,0.18340550635133215,0.7755869539105947,+,0.3668110127026643,0.005877809,98.6721624170167,1
RAD18,++-+,--+-----,NA,0.1834402065108399,0.9858938057006745,+,0.3668804130216798,0.083710305,98.690831102831865,1
GZF1,-++-,-+++----,-+----,0.1834501967675063,0.9530993093460511,+,0.3669003935350126,0.103355993,98.69620586091838,1
PEX13,-+--,+++++---,NA,0.18348047172112109,0.9960156653770428,+,0.36696094344224217,0.190880287,98.71249378596315,1
EML5,++++,+-+-++-+,NA,0.18348234973887428,0.2504250085550186,+,0.36696469947774857,0.010283514559102095,98.71350415951437,1
MMS19,++++,-+--+++-,NA,0.1834941283921516,0.18558360366066456,+,0.3669882567843032,0.024352367,98.71984107497755,1
VEPH1,+++-,+++-++-+,NA,0.18349786091070583,0.9242530379532721,+,0.36699572182141166,0.07131653556871227,98.72184916995974,1
CHRNB1,----,-++--+++,++-+++,0.9752392314205723,0.18353936570700846,-,0.3670787314140169,0.05018627778836809,98.74417875037055,1
ZDHHC14,+-+-,----+---,+-++--,0.31643531278723236,0.18355258854073897,-,0.36710517708147794,0.010377247,98.75129263491756,1
NATD1,+++-,+-+-+-++,NA,0.6007339119006375,0.1836291806385375,-,0.367258361277075,0.04941498,98.79249918353318,1
PDP1,++++,-+----+-,NA,0.18366088502002015,0.6767952259196919,+,0.3673217700400403,0.059992625,98.80955614077084,1
SERPINA1,+++-,+++++-++,NA,0.18367990522842342,0.8273710690389569,+,0.36735981045684685,0.02456918384241841,98.8197890128918,1
PCDHGB6,++--,+-+--+--,NA,0.18371139122369323,0.8572547674727257,+,0.36742278244738646,0.113034861,98.83672847834696,1
MYL7,+--+,NA,NA,0.747615513743855,0.1837439184533568,-,0.3674878369067136,0.11218084959216668,98.85422812790596,1
PTPN1,-+--,----+++-,+-----,0.18817499553296388,0.18377195611082794,-,0.3675439122216559,0.057155431,98.86931238762543,1
CTU1,--+-,+-+---+-,NA,0.18378045732110418,0.2742078967937932,+,0.36756091464220836,0.001840794,98.87388603875405,1
NBPF3,+---,------+-,NA,0.5625730933536475,0.1838120196844374,-,0.3676240393688748,0.021141451,98.89086659022732,1
ZNF570,+++-,++++-+-+,NA,0.18384622471334444,0.9917867145688047,+,0.3676924494266889,0.147976955348897,98.9092688957793,1
SHQ1,+++-,+++-++-+,+-+--+,0.18387634091404956,0.9414013270216035,+,0.3677526818280991,0.055465637,98.92547141175866,1
