gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
CHD4,++,+++-,+-,0.09092482640038352,0.8646806818281699,+,0.182,0.018587079,48.9,1
ZNF419,-+,++-+,++,0.09096666422607047,0.6813194974100008,+,0.182,0.001666386,48.9,1
HEPHL1,--,NA,NA,0.6726557152635181,0.09097650011407711,-,0.182,0.048596345233777656,48.9,1
PPP1R2,+-,-+--,--,0.09098856779481511,0.4145888121381307,+,0.182,0.009312266,49,1
DTWD2,+-,+---,+-,0.09103038909263216,0.9938918332418806,+,0.182,0.05553736,49,1
PIGB,-+,-++-,--,0.9366872909698873,0.09108336023868484,-,0.182,0.032937168,49,1
C2orf88,+-,+++-,NA,0.09113260028458627,0.9179829424154451,+,0.182,0.078760213,49,1
MIOX,-+,NA,NA,0.9333789641797855,0.09114761578827288,-,0.182,0.12826965027440024,49,1
MAD2L1,+-,-++-,NA,0.09116186499593049,0.8628623126837984,+,0.182,0.06979987313445618,49,1
RPS7,++,-+++,-+,0.9755998014092637,0.09116546345497584,-,0.182,0.079657584,49,1
ALCAM,+-,++++,--,0.0911750289185915,0.8798491786160678,+,0.182,0.014302528,49.1,1
SCRIB,-+,+-++,++,0.9484395041974951,0.09121150470373705,-,0.182,0.069381554,49.1,1
ISOC2,-+,++-+,-+,0.9146957863951588,0.09123176465393833,-,0.182,0.020599627931792933,49.1,1
ZNF90,-+,++++,NA,0.09130769668171525,0.2845690022124325,+,0.183,0.011849053,49.1,1
TUBGCP6,-+,--++,+-,0.09135729727006946,0.6102476372014665,+,0.183,9.41854e-4,49.2,1
