gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
COPG1,++++--,--++++-++++-,--+++---,0.4273391292229411,0.6180562257472676,+,0.855,0.037129869,230,1
ATP1A2,+-++--,+----+-----+,+++++--+,0.8352159552334989,0.42734067352860833,-,0.855,0.002355712,230,1
ARPC2,++-++-,+----++++++-,-+-+---+,0.6917415554392083,0.42735193732012366,-,0.855,0.029419122,230,1
SLC5A1,+-++-+,NA,NA,0.427381998860519,0.6715145006838987,+,0.855,0.3285002511845513,230,1
ACTR6,----+-,++++++-+--+-,----++--,0.4274261775605416,0.5460887723549112,+,0.855,0.024807727,230,1
ITPR2,+-+---,+++-++------,+-++-++-,0.42747461238059486,0.43863237834556323,+,0.855,0.04605268,230,1
GSAP,+-++-+,+++--++++-++,NA,0.4275646263876736,0.790305462525175,+,0.855,0.103230033,230,1
RSU1,++-++-,--++++++-++-,-+---+-+,0.5822741278750455,0.427644172822073,-,0.855,0.05129691,230,1
RDH13,----+-,+-------+-+-,+-+++-+-,0.7124104731279175,0.42765259858933247,-,0.855,0.005590075,230,1
FAM169A,++++-+,++-+-+++----,NA,0.45110933211192344,0.4276773931597289,-,0.855,0.004372491,230,1
KLHL22,++++--,-++---+---+-,++---+-+,0.7109392302097413,0.4277270978114383,-,0.855,0.012457491,230,1
NFKB2,+++-+-,+++++-+-+-++,NA,0.42777219778645276,0.9295901812105173,+,0.856,0.223579038,230,1
FAM86C1,++-+-+,--++++++--+-,-----++-,0.526809030777378,0.42780799351656684,-,0.856,0.018244708,230,1
FDXR,+--++-,--+--+-+--+-,NA,0.6850023742072883,0.4278373818398214,-,0.856,0.042447181,230,1
DCAF4L2,+++-++,NA,NA,0.4279975197780556,0.8354476169567505,+,0.856,0.7024908550644829,230,1
MIA,----+-,NA,NA,0.7961049465405498,0.4280055219856098,-,0.856,0.46257275726836655,230,1
