structure_name,genome_tissue_count,sample_tissue_count,expected_tissue_count,hypergeometric_p,corrected_hypergeometric_p,enclosing_regions,region_location
III,50,NA,0.6421007235612631,NA,NA,III <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,III <  anterior lobe of the vermis  <  vermis  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
inferior colliculus,25,NA,0.32105036178063157,NA,NA,inferior colliculus <  midbrain tectum  <  mesencephalon  < gray matter,inferior colliculus <  midbrain tectum  <  mesencephalon  < gray matter
inferior frontal gyrus opercular part,13,NA,0.1669461881259284,NA,NA,inferior frontal gyrus opercular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior frontal gyrus opercular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior frontal gyrus orbital part,6,NA,0.07705208682735157,NA,NA,inferior frontal gyrus orbital part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior frontal gyrus orbital part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior frontal gyrus triangular part,7,NA,0.08989410129857683,NA,NA,inferior frontal gyrus triangular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior frontal gyrus triangular part <  inferior frontal gyrus  <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior occipital gyrus inferior bank of gyrus,2,NA,0.025684028942450525,NA,NA,inferior occipital gyrus inferior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior occipital gyrus inferior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior occipital gyrus superior bank of gyrus,22,NA,0.28252431836695574,NA,NA,inferior occipital gyrus superior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior occipital gyrus superior bank of gyrus <  inferior occipital gyrus  <  occipital lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior rostral gyrus,3,NA,0.038526043413675784,NA,NA,inferior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter
inferior temporal gyrus bank of the its,2,NA,0.025684028942450525,NA,NA,inferior temporal gyrus bank of the its <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,inferior temporal gyrus bank of the its <  inferior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter
IV paravermis,40,NA,0.5136805788490105,NA,NA,IV paravermis <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IV paravermis <  IV  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter
lateral hypothalamic area anterior region,40,NA,0.5136805788490105,NA,NA,lateral hypothalamic area anterior region <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter,lateral hypothalamic area anterior region <  anterior hypothalamic region  <  hypothalamus  <  diencephalon  < gray matter
lateral hypothalamic area mammillary region,15,NA,0.19263021706837893,NA,NA,lateral hypothalamic area mammillary region <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral hypothalamic area mammillary region <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter
lateral hypothalamic area tuberal region,20,NA,0.25684028942450526,NA,NA,lateral hypothalamic area tuberal region <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter,lateral hypothalamic area tuberal region <  tuberal region  <  hypothalamus  <  diencephalon  < gray matter
lateral medullary reticular group,47,NA,0.6035746801475874,NA,NA,lateral medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter,lateral medullary reticular group <  medullary reticular formation  <  myelencephalon  < gray matter
lateral nucleus,99,NA,1.271359432651301,NA,NA,lateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,lateral nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter
