gene_symbol,mouseGene,cns_cell_type_taxon,cell_type_taxon
NICN1,Nicn1,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
HLA-DQA1,H2-Aa,Perivascular macrophages,Perivascular macrophages
MOB4,Mob4,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
CCDC36,Ccdc36,Spinal cord inhibitory neurons,Spinal cord inhibitory neurons
PCDHA6,Pcdha6,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
STK19,Stk19,Telencephalon projecting excitatory neurons,Sympathetic cholinergic neurons
RHOA,Rhoa,Enteric glia,Sympathetic noradrenergic neurons
MAP9,Map9,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
FNIP2,Fnip2,Enteric glia,Sympathetic cholinergic neurons
RBMS3,Rbms3,Cholinergic and monoaminergic neurons,Enteric neurons
PLCL1,Plcl1,Oligodendrocytes,Oligodendrocytes
LTBP3,Ltbp3,Choroid epithelial cells,Choroid epithelial cells
SPRY2,Spry2,Enteric glia,Enteric neurons
HTT,Htt,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
UBE2M,Ube2m,Cholinergic and monoaminergic neurons,Peripheral sensory neurofilament neurons
BAG5,Bag5,Schwann cells,Sympathetic cholinergic neurons
CDH9,Cdh9,Dentate gyrus granule neurons,Dentate gyrus granule neurons
LPIN3,Lpin3,Vascular and leptomeningeal cells,Vascular and leptomeningeal cells
EPHB2,Ephb2,Enteric glia,Enteric glia
HMGN4,NA,NA,NA
PPP6C,Ppp6c,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
NOX4,Nox4,Spinal cord inhibitory neurons,Enteric neurons
PRR16,Prr16,Spinal cord excitatory neurons,Spinal cord excitatory neurons
EXT1,Ext1,Ependymal cells,Ependymal cells
MGAT4C,Mgat4c,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
EYS,NA,NA,NA
STAU1,Stau1,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
HARS2,Hars2,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
BAD,Bad,Spinal cord inhibitory neurons,Sympathetic cholinergic neurons
ETFDH,Etfdh,Choroid epithelial cells,Sympathetic cholinergic neurons
FH,Fh1,Hindbrain neurons,Sympathetic cholinergic neurons
ANKS1B,Anks1b,Oligodendrocytes,Oligodendrocytes
ITPR3,Itpr3,Satellite glia,Satellite glia
RABEPK,Rabepk,Telencephalon inhibitory interneurons,Sympathetic cholinergic neurons
RHOBTB1,Rhobtb1,Pericytes,Pericytes
BSN,Bsn,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
RAB3B,Rab3b,Glutamatergic neuroblasts,Sympathetic noradrenergic neurons
ZNF536,Zfp536,Telencephalon inhibitory interneurons,Telencephalon inhibitory interneurons
TOP1,Top1,Telencephalon projecting excitatory neurons,Enteric neurons
CAMKK2,Camkk2,Telencephalon projecting excitatory neurons,Telencephalon projecting excitatory neurons
MANEA,Manea,Hindbrain neurons,Hindbrain neurons
ARHGEF25,Arhgef25,Telencephalon projecting excitatory neurons,Peripheral sensory neurofilament neurons
VPS41,Vps41,Cholinergic and monoaminergic neurons,Peripheral sensory neurofilament neurons
ATP1A3,Atp1a3,Hindbrain neurons,Hindbrain neurons
ASXL3,Asxl3,Cholinergic and monoaminergic neurons,Peripheral sensory non-peptidergic neurons
ANKHD1,Ankhd1,Hindbrain neurons,Enteric neurons
PCDHA7,Pcdha7,Hindbrain neurons,Hindbrain neurons
PTPRS,Ptprs,Hindbrain neurons,Hindbrain neurons
CCS,Ccs,Satellite glia,Sympathetic cholinergic neurons
PHF2,Phf2,Cholinergic and monoaminergic neurons,Enteric neurons
IK,Ik,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
KYNU,Kynu,Vascular and leptomeningeal cells,Peripheral sensory neurofilament neurons
PPID,Ppid,Cholinergic and monoaminergic neurons,Sympathetic noradrenergic neurons
FAM120AOS,NA,NA,NA
ZMAT2,Zmat2,Telencephalon projecting excitatory neurons,Sympathetic cholinergic neurons
SERPING1,Serping1,Vascular and leptomeningeal cells,Vascular and leptomeningeal cells
USP3,Usp3,Hindbrain neurons,Enteric neurons
CACNA2D1,Cacna2d1,Cholinergic and monoaminergic neurons,Enteric neurons
ANKHD1-EIF4EBP3,Ankhd1,Hindbrain neurons,Enteric neurons
GINM1,Ginm1,Pericytes,Sympathetic noradrenergic neurons
C1QTNF7,C1qtnf7,Vascular smooth muscle cells,Sympathetic cholinergic neurons
MIER1,Mier1,Pericytes,Enteric neurons
SLC4A9,Slc4a9,Hindbrain neurons,Hindbrain neurons
PSEN2,Psen2,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
